ID, Accommodates:, Bathrooms:, Bedrooms:, Beds:, limpieza, extra, finde, precio, lat, lng, tipo
109470, 2, 1.5, 1, 1, , €5 / night after the first guest, , 24, 37.1795794935977, -3.59471722327281, private_room
113096, 3, 1, 1, 1, , €20 / night after 2 guests, , 65, 37.1795527835299, -3.59167895195854, entire_home
137757, 6, 2, 3, 4, , , , 179, 37.179766720357, -3.58982260239624, entire_home
15225704, 2, 1, 1, 1, €10, , €30 / night, 24, 37.1794660225438, -3.59068165539617, private_room
15282709, 2, 0.5, 1, 2, , €15 / night after the first guest, €33 / night, 30, 37.1784020589092, -3.6068838839507, private_room
15309229, 3, 1, 1, 3, €5, No Charge, , 55, 37.170843399043, -3.60019986568043, entire_home
15418621, 4, 1, 2, 4, , No Charge, , 110, 37.1727920210451, -3.59684532377482, entire_home
15436654, 2, 1, 1, 1, , No Charge, , 19, 37.1699017336814, -3.58657564976144, private_room
15585013, 1, 1, 1, 1, , , , 20, 37.187262654772, -3.62216116576033, private_room
15670329, 6, 1, 1, 6, , €20 / night after the first guest, , 19, 37.1812456210656, -3.59416227945579, shared_room
15670538, 4, 1, 2, 2, €10, €20 / night after 2 guests, , 50, 37.173308134223, -3.58999256490612, entire_home
15719070, 8, 1, 3, 5, , €20 / night after 7 guests, €179 / night, 89, 37.1728076138548, -3.60416924009242, entire_home
15753686, 1, 1, 1, 2, , , , 18, 37.1998095961006, -3.60394616156614, private_room
15786795, 1, 1, 1, 1, , , , 18, 37.1812138987518, -3.5926513552472, shared_room
15864637, 2, 1, 1, 1, , No Charge, , 21, 37.1780394237015, -3.60088056496624, private_room
15870777, 7, 2, 3, 4, €15, €20 / night after 2 guests, €35 / night, 30, 37.1724459392133, -3.60073789589064, private_room
16001580, 1, 1, 1, 1, €5, , , 12, 37.1715328250133, -3.59189983528081, private_room
16053995, 8, 3, 4, 5, €50, €20 / night after 6 guests, , 150, 37.1881838080595, -3.58816453775268, entire_home
16108587, 4, 1, 1, 3, , No Charge, , 96, 37.1709608816586, -3.600488382553, entire_home
16156816, 4, 1, 2, 2, , No Charge, €109 / night, 99, 37.1790179893685, -3.60072514495067, entire_home
16158229, 3, 1, 1, 3, €10, , €40 / night, 35, 37.177841860054, -3.59602720516309, private_room
16184154, 4, 1, 2, 3, €50, €15 / night after 2 guests, , 87, 37.1770501686441, -3.60090084824755, entire_home
16203993, 6, 1, 1, 3, €25, €15 / night after 2 guests, , 77, 37.1855099691211, -3.60515153751494, entire_home
16213190, 1, 1, 1, 1, , , , 20, 37.1690032536225, -3.60396523335206, private_room
16240984, 2, 1, 1, 1, , No Charge, €80 / night, 60, 37.1718898879383, -3.60053232956862, entire_home
16334456, 4, 1, 1, 3, €20, No Charge, €120 / night, 80, 37.1747996614197, -3.60007577234539, entire_home
16344744, 4, 1, 1, 2, €10, €10 / night after 2 guests, , 25, 37.1627575376523, -3.57993745327272, entire_home
16346547, 4, 1, 2, 2, , No Charge, €59 / night, 49, 37.1713649882847, -3.58540997484327, entire_home
16378923, 2, 1, 1, 1, , €5 / night after the first guest, €18 / night, 17, 37.1768266714003, -3.59916242192708, private_room
16420119, 2, 1, 1, 1, , €12 / night after the first guest, , 21, 37.1722064216877, -3.59220066512898, private_room
16577153, 2, 1, 3, 3, €23, No Charge, , 19, 37.1794702808889, -3.58872579219665, private_room
16613337, 2, 2, 1, 1, , €8 / night after the first guest, , 17, 37.1579186255743, -3.58705696641894, private_room
