ID, Accommodates:, Bathrooms:, Bedrooms:, Beds:, limpieza, extra, finde
5785036, Error,,,,,,
5799584, Error,,,,,,
5848216, Error,,,,,,
5866602, 4, 1, 1, 2, , €15 / night after 2 guests, 
5967239, No longer available,,,,,, 
6130978, 6, 2.5, 3, 4, €40, No Charge, 
6165001, 4, 1, 3, 3, , No Charge, 
6359400, Error,,,,,,
6845489, 1, 1, 1, 1, €6, , 
6947961, Error,,,,,,
6962027, Error,,,,,,
7202213, Error,,,,,,
7286180, Error,,,,,,
7486173, 4, 2, 1, 2, , €10 / night after 2 guests, 
7510906, 7, 1.5, 3, 4, , No Charge, 
7526957, Error,,,,,,
7759167, Error,,,,,,
8076303, Error,,,,,,
8260557, Error,,,,,,
8303449, Error,,,,,,
8439777, Error,,,,,,
8544232, Error,,,,,,
8648980, Error,,,,,,
8813472, 2, 1, 1, 1, , No Charge, 
8899996, Error,,,,,,
8910699, Error,,,,,,
8936267, 10, 3, 3, 9, , €20 / night after the first guest, 
8958076, Error,,,,,,
9052961, 12, 2, 4, 9, , €15 / night after 8 guests, 
9153671, 2, 2, 1, 1, , €6 / night after the first guest, 
9274001, Error,,,,,,
9381443, 1, 2, 1, 1, , , 
9405585, Error,,,,,,
9469867, Error,,,,,,
9591092, Error,,,,,,
9645118, Error,,,,,,
9705797, Error,,,,,,
9766188, 4, 1, 1, 4, , No Charge, €88 / night
9893844, Error,,,,,,
10013934, Error,,,,,,
10057293, Error,,,,,,
10129853, Error,,,,,,
10130627, Error,,,,,,
10223181, Error,,,,,,
10239085, No longer available,,,,,, 
10650016, Error,,,,,,
10665577, Error,,,,,,
10742869, Error,,,,,,
10764776, 2, 1, Studio, 1, €12, No Charge, 
10977854, Error,,,,,,
11014105, No longer available,,,,,, 
11029258, 2, 1, 1, 1, €25, No Charge, €50 / night
11157511, Error,,,,,,
11389653, 4, 1, 2, 2, , No Charge, 
11419276, Error,,,,,,
11493135, 1, 1, 1, 1, , , 
11708709, 4, 1, 1, 2, , No Charge, 
11735756, 4, 1, 1, 2, , €10 / night after 2 guests, €75 / night
11784376, 4, 1, 2, 2, €15, €10 / night after 3 guests, 
11856437, Error,,,,,,
11934924, 1, 1, 1, 1, , , 
11963986, Error,,,,,,
12049266, Error,,,,,,
12132725, Error,,,,,,
12281841, 2, 1, 1, 1, , €10 / night after the first guest, 
12353011, Error,,,,,,
12360011, Error,,,,,,
12361477, Error,,,,,,
12374350, Error,,,,,,
12408911, Error,,,,,,
12458307, 4, 1.5, 2, 3, , €10 / night after 2 guests, 
12466558, Error,,,,,,
12476528, Error,,,,,,
12537358, 2, 1, Studio, 1, , , 
12566027, 4, 1, 2, 2, €15, €10 / night after 3 guests, 
12638199, 3, 1, 1, 2, €10, No Charge, €55 / night
12809272, 7, 1.5, 3, 5, , No Charge, 
12828089, Error,,,,,,
12861752, Error,,,,,,
12883590, 2, 1, 1, 1, , No Charge, 
12929817, 2, 1, 1, 1, €15, No Charge, €40 / night
13016413, Error,,,,,,
13159086, Error,,,,,,
13263825, Error,,,,,,
13388555, Error,,,,,,
13391759, Error,,,,,,
13469100, Error,,,,,,
13519502, Error,,,,,,
13527952, Error,,,,,,
13662260, Error,,,,,,
13770352, Error,,,,,,
13782914, 1, 2, 1, 1, , , 
13805664, Error,,,,,,
13818205, 1, 1, 1, 1, , , 
13896851, 2, 1.5, 1, 1, , €6 / night after the first guest, €19 / night
13956920, Error,,,,,,
13970411, No longer available,,,,,, 
13995655, 1, 1, 1, 1, , , 
14050084, 3, 2, 1, 1, €20, €20 / night after 2 guests, 
14060922, 6, 2, 4, 5, , €15 / night after 5 guests, 
14088392, 1, 1, 1, 1, €15, , 
14091017, 4, 1, 1, 2, €8, €13 / night after 2 guests, 
14098669, 2, 1, 1, 1, €23, No Charge, 
14115897, 4, 1, 1, 4, €15, €7 / night after 2 guests, €65 / night
14167658, 3, 1, 1, 2, , €20 / night after 2 guests, 
14176716, Error,,,,,,
14246744, Error,,,,,,
14366504, 4, 1, 3, 3, €15, No Charge, €70 / night
14369104, 2, 1, 1, 1, , , €42 / night
14528597, Error,,,,,,
14539988, Error,,,,,,
14540794, Error,,,,,,
14555123, 2, 1, 1, 1, , No Charge, €50 / night
14570140, No longer available,,,,,, 
14592078, Error,,,,,,
14599411, 14, 2, 4, 8, , €15 / night after 8 guests, 
14631479, 6, 1, 3, 6, , , €63 / night
14649085, Error,,,,,,
14702395, Error,,,,,,
14719479, Error,,,,,,
14781867, Error,,,,,,
14838906, 2, 1.5, 1, 1, , €10 / night after the first guest, 
14836490, Error,,,,,,
14845973, 6, 2, 2, 3, €25, €25 / night after 4 guests, €135 / night
14878515, 2, 1, 1, 1, , No Charge, €60 / night
14924370, Error,,,,,,
14929085, Error,,,,,,
14929469, Error,,,,,,
14931450, Error,,,,,,
14943996, Error,,,,,,
14941757, Error,,,,,,
14950394, 4, 1, 1, 3, , €8 / night after the first guest, 
14987238, Error,,,,,,
14990025, Error,,,,,,
14992570, 4, 1, 2, 3, €22, No Charge, €75 / night
15002047, 2, 1, 1, 1, , No Charge, 
15012275, Error,,,,,,
15014045, Error,,,,,,
15024610, 6, 1, 2, 4, , No Charge, 
15037428, 3, 1, 2, 2, €10, No Charge, €50 / night
15139565, No longer available,,,,,, 
15148054, 4, 1, 2, 4, , No Charge, €130 / night
15171083, Error,,,,,,
15186118, Error,,,,,,
15225704, Error,,,,,,
15244998, Error,,,,,,
15253366, Error,,,,,,
15282709, Error,,,,,,
15309229, Error,,,,,,
15376970, 4, 2, 3, 4, €30, , €80 / night
15391620, Error,,,,,,
15394050, Error,,,,,,
15418621, Error,,,,,,
15436654, Error,,,,,,
15458922, Error,,,,,,
15476839, Error,,,,,,
15476825, 1, 1, 1, 2, , , 
15515407, Error,,,,,,
15585013, Error,,,,,,
15611942, 4, 1, 1, 2, , €5 / night after 2 guests, €89 / night
15670538, Error,,,,,,
15670329, Error,,,,,,
15711452, Error,,,,,,
15719070, Error,,,,,,
15732915, 4, 1, 1, 1, , €14 / night after 2 guests, 
15753686, Error,,,,,,
15750330, 2, 1, 1, , , No Charge, 
15786795, Error,,,,,,
15825667, 4, 1, 1, 2, , No Charge, 
15864637, Error,,,,,,
15870777, Error,,,,,,
15895187, Error,,,,,,
15911482, 4, 1, 2, 2, , No Charge, 
15963991, Error,,,,,,
15993402, No longer available,,,,,, 
15994923, 2, 1, 1, 2, , No Charge, €17 / night
16001580, Error,,,,,,
16053995, Error,,,,,,
16059845, Error,,,,,,
16109184, 6, 2, 1, 6, , €20 / night after 2 guests, €60 / night
16108587, Error,,,,,,
16158229, Error,,,,,,
16156816, Error,,,,,,
16176728, 4, 2, 2, 3, €25, No Charge, €125 / night
16184154, Error,,,,,,
16189604, Error,,,,,,
16203993, Error,,,,,,
16213190, Error,,,,,,
16240984, Error,,,,,,
16334456, Error,,,,,,
16341317, Error,,,,,,
16344744, Error,,,,,,
16346547, Error,,,,,,
16378923, Error,,,,,,
16401834, 2, 2, , , , No Charge, 
16416312, Error,,,,,,
16420119, Error,,,,,,
16440505, 15, 4, 5, 15, , No Charge, 
16449107, 1, 1, 1, 3, , , 
16472588, 2, 1, 1, 1, , , €70 / night
16489487, 2, 3, 1, 1, , , €80 / night
16577153, Error,,,,,,
16585468, Error,,,,,,
16613337, Error,,,,,,
16646086, Error,,,,,,
16690299, Error,,,,,,
16701200, 10, 1, 3, 4, , No Charge, 
16727774, Error,,,,,,
16733515, Error,,,,,,
16776339, 8, 3, 3, 6, €30, €10 / night after 6 guests, 
16778908, Error,,,,,,
16836835, Error,,,,,,
16848996, Error,,,,,,
16853555, Error,,,,,,
16924868, Error,,,,,,
16994667, Error,,,,,,
17012997, Error,,,,,,
17035380, Error,,,,,,
17070774, Error,,,,,,
17136490, Error,,,,,,
17148877, 6, 1, 3, 3, €60, No Charge, €110 / night
17147625, 4, 1, 1, 2, , No Charge, 
17163049, 8, 2, 3, 6, €15, €10 / night after 2 guests, €70 / night
17209636, Error,,,,,,
17224053, 4, 1, 1, 3, , , €75 / night
17233813, Error,,,,,,
17244977, Error,,,,,,
17282860, No longer available,,,,,, 
17291184, No longer available,,,,,, 
17328145, 2, 1, 1, 2, , €15 / night after the first guest, €35 / night
17343820, Error,,,,,,
17351705, Error,,,,,,
17398344, Error,,,,,,
17403781, Error,,,,,,
17411760, Error,,,,,,
17417070, Error,,,,,,
17418414, Error,,,,,,
17419183, Error,,,,,,
17415537, 2, 1, 1, 1, , €20 / night after the first guest, 
17418271, 5, 2.5, 3, 5, €35, €20 / night after 4 guests, 
17427460, Error,,,,,,
17445348, Error,,,,,,
17458120, 1, 1, 1, 1, €4, , €18 / night
17478570, 4, 1, 1, 1, €10, No Charge, €60 / night
17495464, Error,,,,,,
17509829, No longer available,,,,,, 
17522628, Error,,,,,,
17540430, 5, 2, 2, 3, , No Charge, 
17558882, Error,,,,,,
17559740, Error,,,,,,
17555814, 2, 2, 1, 2, , No Charge, €33 / night
17565640, 2, 1, 1, 1, €20, No Charge, 
17571645, Error,,,,,,
17585332, Error,,,,,,
17632476, Error,,,,,,
17652593, Error,,,,,,
17664367, Error,,,,,,
17692224, 1, 1.5, 1, 1, , , 
17697135, Error,,,,,,
17698381, Error,,,,,,
17733658, Error,,,,,,
17733210, Error,,,,,,
17775908, Error,,,,,,
17791413, 2, 1, , , , €16 / night after the first guest, €25 / night
17798253, Error,,,,,,
17816892, Error,,,,,,
17825787, No longer available,,,,,, 
17825691, Error,,,,,,
17828347, Error,,,,,,
17834241, 4, 1, 1, 1, €10, No Charge, 
17836323, 5, 2, 2, 3, , No Charge, €120 / night
17836622, Error,,,,,,
17839803, Error,,,,,,
17842309, 3, 2, 1, 1, €15, No Charge, 
17854921, Error,,,,,,
17852217, Error,,,,,,
17859267, Error,,,,,,
17855350, Error,,,,,,
17855153, No longer available,,,,,, 
17871104, Error,,,,,,
17877231, Error,,,,,,
17877952, No longer available,,,,,, 
17878434, No longer available,,,,,, 
17879463, Error,,,,,,
