ID, Accommodates:, Bathrooms:, Bedrooms:, Beds:, limpieza, extra, finde
5591509, 6, 1, 1, 3, €23, €20 / night after 2 guests, 
5646952, 2, 1, 1, 1, , , 
5785036, Error,,,,,,
5799584, Error,,,,,,
5848216, Error,,,,,,
5866602, Error,,,,,,
5967239, Error,,,,,,
6130978, Error,,,,,,
6165001, Error,,,,,,
6359400, Error,,,,,,
6496605, 8, 2, 3, 7, , €13 / night after 2 guests, €120 / night
6845489, Error,,,,,,
6947961, Error,,,,,,
6962027, Error,,,,,,
6986959, 3, 1, 1, 2, , No Charge, 
7202213, Error,,,,,,
7286180, Error,,,,,,
7486173, Error,,,,,,
7510906, Error,,,,,,
7526957, Error,,,,,,
7722689, 6, 1, 3, 4, €20, €5 / night after 3 guests, €90 / night
7759167, Error,,,,,,
8076303, Error,,,,,,
8145490, 2, 2, 1, 2, , , €35 / night
8260557, Error,,,,,,
8303449, Error,,,,,,
8336282, 2, 1, 1, 1, €10, No Charge, €34 / night
8439777, Error,,,,,,
8544232, Error,,,,,,
8628884, 3, 1, 1, 2, , No Charge, 
8648980, Error,,,,,,
8813472, Error,,,,,,
8899996, Error,,,,,,
8910699, Error,,,,,,
8936267, Error,,,,,,
8946521, No longer available,,,,,, 
8958076, Error,,,,,,
9052961, Error,,,,,,
9143672, 2, 1, 1, 2, €12, No Charge, €27 / night
9153671, Error,,,,,,
9274001, Error,,,,,,
9287001, 4, 1, 3, 3, €25, No Charge, 
9381443, Error,,,,,,
9405585, Error,,,,,,
9469867, Error,,,,,,
9591092, Error,,,,,,
9610174, No longer available,,,,,, 
9645118, Error,,,,,,
9705797, Error,,,,,,
9766188, Error,,,,,,
9893844, Error,,,,,,
10013934, Error,,,,,,
10057293, Error,,,,,,
10129853, Error,,,,,,
10130627, Error,,,,,,
10223181, Error,,,,,,
10239085, Error,,,,,,
10650016, Error,,,,,,
10665577, Error,,,,,,
10692576, 2, 1, 1, 1, €20, No Charge, €59 / night
10742869, Error,,,,,,
10764776, Error,,,,,,
10977854, Error,,,,,,
11014105, Error,,,,,,
11029258, Error,,,,,,
11157511, Error,,,,,,
11315935, 2, 1, 1, 1, , , €40 / night
11342237, 4, 1, 1, 2, , €20 / night after 2 guests, 
11389653, Error,,,,,,
11419276, Error,,,,,,
11468048, 4, 1, 1, 2, , €12 / night after 2 guests, 
11493135, Error,,,,,,
11578952, 2, 1, 1, 1, , , €20 / night
11708709, Error,,,,,,
11735756, Error,,,,,,
11784376, Error,,,,,,
11856437, Error,,,,,,
11934924, Error,,,,,,
11963986, Error,,,,,,
11976779, No longer available,,,,,, 
12049266, Error,,,,,,
12132725, Error,,,,,,
12281841, Error,,,,,,
12353011, Error,,,,,,
12360011, Error,,,,,,
12361477, Error,,,,,,
12374350, Error,,,,,,
12409701, 2, 1, 1, 1, , No Charge, 
12408911, Error,,,,,,
12458307, Error,,,,,,
12466558, Error,,,,,,
12476528, Error,,,,,,
12537358, Error,,,,,,
12566027, Error,,,,,,
12638199, Error,,,,,,
12809272, Error,,,,,,
12818519, 2, 1, 1, 1, , €10 / night after the first guest, 
12828089, Error,,,,,,
12861752, Error,,,,,,
12883590, Error,,,,,,
12929817, Error,,,,,,
13016413, Error,,,,,,
13159086, Error,,,,,,
13263825, Error,,,,,,
13388555, Error,,,,,,
13391759, Error,,,,,,
13427407, No longer available,,,,,, 
13458366, 2, 2, 1, 1, , €5 / night after the first guest, €25 / night
13469100, Error,,,,,,
13519502, Error,,,,,,
13527952, Error,,,,,,
13662260, Error,,,,,,
13679287, 3, 2, 1, 3, , No Charge, 
13730721, 5, 1, 3, 3, , €5 / night after 2 guests, 
13770352, Error,,,,,,
13782914, Error,,,,,,
13805664, Error,,,,,,
13818205, Error,,,,,,
13892962, 5, 2, 3, 4, €10, No Charge, 
13896851, Error,,,,,,
13956920, Error,,,,,,
13956137, 3, 1, 1, 2, €10, €20 / night after 2 guests, €59 / night
13970411, Error,,,,,,
13995655, Error,,,,,,
14025560, 2, 1, 1, 1, €5, No Charge, €30 / night
14050084, Error,,,,,,
14060922, Error,,,,,,
14088392, Error,,,,,,
14091017, Error,,,,,,
14098669, Error,,,,,,
14101488, 2, 1, 1, 1, , No Charge, 
14115897, Error,,,,,,
14167658, Error,,,,,,
14176716, Error,,,,,,
14237305, 2, 1, 1, 1, , €19 / night after the first guest, 
14246744, Error,,,,,,
14366504, Error,,,,,,
14369104, Error,,,,,,
14366851, 4, 1, Studio, 2, €15, No Charge, €55 / night
14467350, 5, 2, 2, 5, , €20 / night after 4 guests, €125 / night
14480483, 1, 1, 1, 1, , , 
14528597, Error,,,,,,
14539988, Error,,,,,,
14540794, Error,,,,,,
14552307, 4, 2, 1, 3, , €15 / night after 2 guests, €28 / night
14555123, Error,,,,,,
14570140, Error,,,,,,
14583489, 3, 2, 3, 3, , No Charge, 
14592078, Error,,,,,,
14599411, Error,,,,,,
14631479, Error,,,,,,
14649085, Error,,,,,,
14702395, Error,,,,,,
14719479, Error,,,,,,
14781867, Error,,,,,,
14820864, 4, 1, 1, 2, €10, €10 / night after 2 guests, 
14838906, Error,,,,,,
14836490, Error,,,,,,
14845973, Error,,,,,,
14878515, Error,,,,,,
14899798, 4, 1.5, 2, 2, , No Charge, 
14906436, No longer available,,,,,, 
14924370, Error,,,,,,
14929085, Error,,,,,,
14929469, Error,,,,,,
14931450, Error,,,,,,
14943996, Error,,,,,,
14941757, Error,,,,,,
14950394, Error,,,,,,
14987238, Error,,,,,,
14990025, Error,,,,,,
14992570, Error,,,,,,
15002047, Error,,,,,,
15012275, Error,,,,,,
15014045, Error,,,,,,
15024610, Error,,,,,,
15037428, Error,,,,,,
15083302, 2, 1, 1, 1, , , 
15104547, 4, 1, 1, 2, €75, €15 / night after 2 guests, €75 / night
15139565, Error,,,,,,
15142802, 3, 1, 1, 2, , €8 / night after the first guest, 
15148054, Error,,,,,,
15171083, Error,,,,,,
15176275, 2, 2, 1, 1, €5, No Charge, 
15186118, Error,,,,,,
15225704, Error,,,,,,
15244998, Error,,,,,,
15253366, Error,,,,,,
15276306, No longer available,,,,,, 
15282709, Error,,,,,,
15309229, Error,,,,,,
15368106, 4, 1, 2, 2, , €12 / night after 2 guests, €39 / night
15376970, Error,,,,,,
