ID, Accommodates:, Bathrooms:, Bedrooms:, Beds:, limpieza, extra, finde
16341317, 8, 1, 2, 5, €20, €10 / night after 3 guests, 
18077039, 5, 1, 2, 2, €20, €15 / night after 3 guests, 
18343643, 1, 1, 1, 1, , , 
